code,isin,exchange,name,vehicle_type,sector,currency,market_cap,nta_total,nta_basis,nta_per_share,nta_unit,price,discount,discount_basis,nta_date,as_of,source,source_url
8IH,,ASX,8I Holdings Ltd,LIC,unknown,AUD,4179999.9999999995,,published_nta,0.0428,declared_major,0.012,-0.719626168224299,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
ACQ,,ASX,Acorn Capital Investment Fund Limited,LIC,equity,AUD,79330000.0,,published_nta,1.164,declared_major,0.935,-0.1967353951890033,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
AFI,,ASX,Australian Foundation Investment Company Limited,LIC,equity,AUD,8711340000.0,,published_nta,7.76,declared_major,6.55,-0.1559278350515464,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
AIQ,,ASX,Alternative Investment Trust,LIT,hedge_multi_asset,AUD,86180000.0,,published_nta,1.4892,declared_major,1.38,-0.07332796132151498,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
ALI,,ASX,Argo Global Listed Infrastructure Limited,LIC,infrastructure,AUD,491700000.0,,published_nta,2.61,declared_major,2.49,-0.045977011494252706,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
AMH,,ASX,AMCIL Limited,LIC,equity,AUD,283070000.0,,published_nta,1.05,declared_major,0.9,-0.1428571428571429,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
ARG,,ASX,Argo Investments Limited,LIC,equity,AUD,6990200000.0,,published_nta,10.59,declared_major,8.94,-0.15580736543909357,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
AUI,,ASX,Australian United Investment Company Limited,LIC,equity,AUD,2443200000.0,,published_nta,13.46,declared_major,10.97,-0.1849925705794948,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
BEL,,ASX,Bentley Capital Limited,LIC,equity,AUD,840000.0,,published_nta,0.0099,declared_major,0.013000000000000001,0.31313131313131315,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
BHD,,ASX,Benjamin Hornigold Limited,LIC,equity,AUD,4350000.0,,published_nta,0.2526,declared_major,0.17,-0.32699920823436257,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
BKI,,ASX,BKI Investment Company Limited,LIC,equity,AUD,1473020000.0,,published_nta,2.04,declared_major,1.78,-0.12745098039215685,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
BTI,,ASX,Bailador Technology Investments Limited,LIC,equity,AUD,140610000.0,,published_nta,1.7,declared_major,0.96,-0.43529411764705883,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
CAM,,ASX,Clime Capital Limited,LIC,equity,AUD,96730000.0,,published_nta,0.805,declared_major,0.7,-0.1304347826086958,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
CD1,,ASX,Cd Private Equity Fund I,LIC,private_equity,AUD,11700000.0,,published_nta,0.59,declared_major,0.33,-0.44067796610169485,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
CD2,,ASX,Cd Private Equity Fund II,LIC,private_equity,AUD,17320000.0,,published_nta,0.6,declared_major,0.365,-0.3916666666666666,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
CD3,,ASX,Cd Private Equity Fund III,LIC,private_equity,AUD,63020000.0,,published_nta,1.52,declared_major,0.9,-0.4078947368421053,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
CDM,,ASX,Cadence Capital Limited,LIC,equity,AUD,224370000.0,,published_nta,0.876,declared_major,0.765,-0.12671232876712324,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
CDO,,ASX,Cadence Opportunities Fund Limited,LIC,equity,AUD,34550000.0,,published_nta,2.316,declared_major,2.17,-0.06303972366148525,published,2026-05-29,2026-05-29,asx-investment-products-monthly,http://local/investment-products-monthly-asxmonthly.xlsx
