code,name,reason,market_cap,nta_per_share
XJOAI,S&P/ASX 200 Accumulation,index code shape (X + four letters),,
XSOAI,S&P/ASX Small Ords Accumulation,index code shape (X + four letters),,
XPJAI,S&P/ASX 200 A-REIT Accumulation,index code shape (X + four letters),,
XIFAI,S&P/ASX Infrastructure Index Accumulation,index code shape (X + four letters),,
ATR,Schroder Asian Total Return,name matches a non-fund / aggregate row,638550000.0,
ATR,Schroder Asian Total Return,name matches a non-fund / aggregate row,,7.228585664825832
RTW,RTW Biotech Opportunities,no figures; already covered by another source,,
SYNC,Syncona,no figures; already covered by another source,,
BSRT,Baker Steel Resources Trust,no figures; already covered by another source,,
RSE,Riverstone Energy,no figures; already covered by another source,,
None,Vietnam Enterprise Investments,not a recognisable stock code,,
VNH,VietNam Holding,no figures; already covered by another source,,
VOF,VinaCapital Vietnam Opportunity,no figures; already covered by another source,,
BPCR,BioPharma Credit,no figures; already covered by another source,,
GABI,GCP Asset Backed Income,no figures; already covered by another source,,
RCOI,Riverstone Credit Opportunities Income,no figures; already covered by another source,,
VSL,VPC Specialty Lending Investments,no figures; already covered by another source,,
CVCE,CVC Income & Growth,no figures; already covered by another source,,
CVCG,CVC Income & Growth,no figures; already covered by another source,,
MGCI,M&G Credit Income,no figures; already covered by another source,,
SMIF,TwentyFour Select Monthly Income,no figures; already covered by another source,,
TORO,Chenavari Toro Income Fund,no figures; already covered by another source,,
EJFI,EJF Investments,no figures; already covered by another source,,
FAIR,Fair Oaks Income 2021,no figures; already covered by another source,,
TFIF,TwentyFour Income Fund,no figures; already covered by another source,,
VTA,Volta Finance,no figures; already covered by another source,,
AIC,Achilles Investment Company,no figures; already covered by another source,,
CGL,Castelnau Group,no figures; already covered by another source,,
CRS,Crystal Amber Fund,no figures; already covered by another source,,
None,Hansa Investment Company,not a recognisable stock code,,5.341722358585472
None,Hansa Investment Company,not a recognisable stock code,,5.341722357569252
JARA,JPMorgan Global Core Real Assets,no figures; already covered by another source,,
RCP,RIT Capital Partners,no figures; already covered by another source,,
RICA,Ruffer Investment Company,no figures; already covered by another source,,
SBSI,Schroder BSC Social Impact,no figures; already covered by another source,,
TFG,Tetragon Financial Group,no figures; already covered by another source,,
INV,The Investment Company,no figures; already covered by another source,,
None,UIL,not a recognisable stock code,,2.5544036222593274
AWEM,Ashoka WhiteOak Emerging Markets,no figures; already covered by another source,,
BAF,British & American,no figures; already covered by another source,,
CHRY,Chrysalis Investments,no figures; already covered by another source,,
GROW,Molten Ventures,no figures; already covered by another source,,
INOV,Schroders Capital Global Innovation Trust,no figures; already covered by another source,,
SSIT,Seraphim Space Investment Trust,no figures; already covered by another source,,
ALF,Alternative Liquidity Fund,no figures; already covered by another source,,
BHMG,BH Macro,no figures; already covered by another source,,
BHMU,BH Macro,no figures; already covered by another source,,
GMP,Gabelli Merchant Partners,no figures; already covered by another source,,
IGC,India Capital Growth Fund,no figures; already covered by another source,,
3IN,3i Infrastructure,no figures; already covered by another source,,
CORD,Cordiant Digital Infrastructure,no figures; already covered by another source,,
DGI9,Digital 9 Infrastructure,no figures; already covered by another source,,
GCP,GCP Infrastructure Investments,no figures; already covered by another source,,
HICL,HICL Infrastructure,no figures; already covered by another source,,
INPP,International Public Partnerships,no figures; already covered by another source,,
PINT,Pantheon Infrastructure,no figures; already covered by another source,,
SEQI,Sequoia Economic Infrastructure Income,no figures; already covered by another source,,
DPA,DP Aircraft I,no figures; already covered by another source,,
SHIP,Tufton Assets,no figures; already covered by another source,,
None,Canadian General Investments,not a recognisable stock code,,
PSH,Pershing Square Holdings,no figures; already covered by another source,,
BASC,Brown Advisory US Smaller Companies,no figures; already covered by another source,,
CTPE,CT Private Equity Trust,no figures; already covered by another source,,
HVPE,HarbourVest Global Private Equity,no figures; already covered by another source,,
HGT,HgCapital Trust,no figures; already covered by another source,,
ICGT,ICG Enterprise Trust,no figures; already covered by another source,,
JPEL,JPEL Private Equity,no figures; already covered by another source,,
BOOK,Literacy Capital,no figures; already covered by another source,,
LMS,LMS Capital,no figures; already covered by another source,,
NBPE,Neuberger Private Equity Partners,no figures; already covered by another source,,
None,Oakley Capital Investments,not a recognisable stock code,,
PIN,Pantheon International,no figures; already covered by another source,,
PEY,Partners Group Private Equity,no figures; already covered by another source,,
PPET,Patria Private Equity,no figures; already covered by another source,,
DVNO,Develop North,no figures; already covered by another source,,
LBOW,ICG-Longbow Senior Secured UK Property Debt Invest,no figures; already covered by another source,,
RECI,Real Estate Credit Investments,no figures; already covered by another source,,
ASLI,abrdn European Logistics Income,no figures; already covered by another source,,
PSDL,Phoenix Spree Deutschland,no figures; already covered by another source,,
SERE,Schroder European Real Estate,no figures; already covered by another source,,
CBA,Ceiba Investments,no figures; already covered by another source,,
AEWU,AEW UK REIT,no figures; already covered by another source,,
CIP,Channel Islands Property,no figures; already covered by another source,,
CREI,Custodian Property Income REIT,no figures; already covered by another source,,
RGL,Regional REIT,no figures; already covered by another source,,
SREI,Schroder Real Estate,no figures; already covered by another source,,
VIP,Value and Indexed Property Income Trust,no figures; already covered by another source,,
THRL,Target Healthcare REIT,no figures; already covered by another source,,
BBOX,Tritax Big Box REIT,no figures; already covered by another source,,
HOME,Home REIT,no figures; already covered by another source,,
LIVE,Living REIT,no figures; already covered by another source,,
RESI,Residential Secure Income REIT,no figures; already covered by another source,,
None,Bluefield Solar Income Fund,not a recognisable stock code,,
FGEN,Foresight Environmental Infrastructure,no figures; already covered by another source,,
FSFL,Foresight Solar Fund,no figures; already covered by another source,,
GSF,Gore Street Energy Storage,no figures; already covered by another source,,
GRP,Greencoat Renewables,no figures; already covered by another source,,
UKW,Greencoat UK Wind,no figures; already covered by another source,,
GRID,Gresham House Energy Storage,no figures; already covered by another source,,
NESF,NextEnergy Solar Fund,no figures; already covered by another source,,
ORIT,Octopus Renewables Infrastructure Trust,no figures; already covered by another source,,
AEET,Parvus Energy Efficiency Trust,no figures; already covered by another source,,
TRIG,Renewables Infrastructure Group,no figures; already covered by another source,,
SEIT,SDCL Efficiency Income,no figures; already covered by another source,,
USF,US Solar Fund,no figures; already covered by another source,,
ENRG,VH Global Energy Infrastructure,no figures; already covered by another source,,
None,Marwyn Value Investors,not a recognisable stock code,,
ONWD,Onward Opportunities,no figures; already covered by another source,,
RIII,Rights & Issues Investment Trust,no figures; already covered by another source,,
RMMC,River UK Micro Cap,no figures; already covered by another source,,
WINV,Worsley Investors,no figures; already covered by another source,,
CRWN,Albion Crown VCT,no figures; already covered by another source,,
AAEV,Albion Enterprise VCT,no figures; already covered by another source,,
AATG,Albion Technology & General VCT,no figures; already covered by another source,,
BFSP,Blackfinch Spring VCT,no figures; already covered by another source,,
BSC,British Smaller Companies VCT 2,no figures; already covered by another source,,
