fund_id,exchange,ticker,name,sector,sector_raw,currency,structure,market_cap,status,nta_total_return_5y,nta_total_return_10y,nta_total_return_since_inception,nta_history_years,nta_type,returns_provenance,nta_observations,r5_source,r10_source,r_all_source,growth_provenance,discount_current,discount_date,discount_mean_5y,discount_mean_10y,discount_mean_all,discount_stdev_5y,discount_zscore,discount_pct_time_wide,d_star,peer_group,n_peers,trailing_dividend_yield,g_conservative,g_base,g_shrunk,g_prior,g_weight_on_data,g_regime,g_haircut,r_discount,r_discount_undamped,damping,drag,forward_return_total,rankable,exclusion_reason,windup_scenario,activist_score,activist_prize,activist_register,activist_endgame,activist_coverage,matched_activists,insider_pct,top20_pct,largest_holder_pct,source_status,source_url,warnings
ASX:MRE,ASX,MRE,Metrics Real Estate Multi-Strategy Fund,property,Units,AUD,LIC,286180000.0,live,,,0.21228619839872498,1.6618754277891854,unspecified,computed,19,,,computed,computed,-0.29018052320267695,2026-08-14,-0.13796848205098375,-0.13796848205098375,-0.13796848205098375,0.08089438727608267,-1.8816143650635746,0.5844748858447488,-0.13796848205098375,property@none,0,0.05448275832207582,0.0631265928930687,0.21228619839872498,0.07312659289306869,0.05,0.1425049888484564,single_window,0.01,0.020579154042827508,0.020579154042827508,1.0,0.005,0.0787057469358962,False,only 1.7y of NTA history and no stated 5y return (need 5y),,65.0860554970144,87.01484018264838,,30.0,0.43250000000000005,,,,,ok,https://www.asx.com.au/content/dam/asx/issuers/asx-investment-products-reports/2026/excel/asx-investment-products-july-2026-abs.xlsx,
ASX:RG8,ASX,RG8,Regal Asian Investments Limited,equity,Shares,AUD,LIC,365610000.0,live,0.1019541,,0.2793688409239834,1.9137577002053388,unspecified,computed,22,stated,,computed,stated,-0.20606064073967212,2026-08-14,-0.1392212968182339,-0.1392212968182339,-0.1392212968182339,0.06852277414069954,-0.9754325442836759,0.8303747534516766,-0.11308891273402387,equity@ASX,53,0.06949807180118431,0.06733564919277164,0.17291999636959338,0.08233564919277164,0.065,0.16063426404688036,deteriorating,0.015,0.0074426673940424515,0.011445180044984182,0.650288362855784,0.005,0.06977831658681409,True,,,74.97093663852914,62.45277203760983,,95.0,0.5125000000000001,,,,,ok,https://www.asx.com.au/content/dam/asx/issuers/asx-investment-products-reports/2026/excel/asx-investment-products-july-2026-abs.xlsx,"5y return is the publisher's stated figure, not recomputed here (the ASX archive is shallower than its performance table)"
ASX:MEC,ASX,MEC,Morphic Ethical Equities Fund Limited,equity,Shares,AUD,LIC,36990000.0,live,0.06920925,,0.20696618887807539,1.9137577002053388,unspecified,computed,22,stated,,computed,stated,-0.22601584823872223,2026-08-14,-0.1284416039625257,-0.1284416039625257,-0.1284416039625257,0.038656715557124334,-2.5241214332347446,0.8579881656804734,-0.10769906630616978,equity@ASX,53,0.02918455031184742,0.059527543573551625,0.12431202555123017,0.07452754357355162,0.065,0.16063426404688036,deteriorating,0.015,0.01483970095288778,0.01483970095288778,1.0,0.005,0.0693672445264394,True,,,66.72735585206611,49.05695325960741,,95.0,0.5125000000000001,,,,,ok,https://www.asx.com.au/content/dam/asx/issuers/asx-investment-products-reports/2026/excel/asx-investment-products-july-2026-abs.xlsx,"5y return is the publisher's stated figure, not recomputed here (the ASX archive is shallower than its performance table)"
ASX:WAA,ASX,WAA,WAM Active Limited,equity,Shares,AUD,LIC,169400000.0,live,0.1262323,,0.28548589259931356,1.9137577002053388,unspecified,computed,22,stated,,computed,stated,-0.07752268755265579,2026-08-14,-0.008200907315554796,-0.008200907315554796,-0.008200907315554796,0.0739804147370441,-0.9370288134163379,0.03353057199211045,-0.05071931100242039,equity@ASX,53,0.06845741907930498,0.07006863890400278,0.18993373703972544,0.08506863890400278,0.065,0.16063426404688036,deteriorating,0.015,0.0018046221467054697,0.0028888473665915626,0.624685875610892,0.005,0.06687326105070825,True,,,53.210698766066265,27.092385494857687,,95.0,0.5125000000000001,,,,,ok,https://www.asx.com.au/content/dam/asx/issuers/asx-investment-products-reports/2026/excel/asx-investment-products-july-2026-abs.xlsx,"5y return is the publisher's stated figure, not recomputed here (the ASX archive is shallower than its performance table)"
ASX:LSX,ASX,LSX,Lion Selection Group Limited,equity,Shares,AUD,LIC,121760000.0,live,0.1899158,,0.272692703887236,1.9137577002053388,unspecified,computed,22,stated,,computed,stated,-0.09323771468928599,2026-08-14,-0.14484235640669493,-0.14484235640669493,-0.14484235640669493,0.1309442079277827,0.394096405897308,0.7297830374753451,-0.11589944252825439,equity@ASX,53,,0.07538448041522951,0.2230265615548944,0.0903844804152295,0.065,0.16063426404688036,deteriorating,0.015,-0.005049113722880527,-0.005049113722880527,1.0,0.005,0.06533536669234898,True,,,60.07358519192839,38.24457593688363,,95.0,0.5125000000000001,,,,,ok,https://www.asx.com.au/content/dam/asx/issuers/asx-investment-products-reports/2026/excel/asx-investment-products-july-2026-abs.xlsx,"5y return is the publisher's stated figure, not recomputed here (the ASX archive is shallower than its performance table)"
ASX:TGF,ASX,TGF,Tribeca Global Natural Resources Limited,equity,Shares,AUD,LIC,172440000.0,live,0.041749470000000004,,0.3766428862774527,1.9137577002053388,unspecified,computed,22,stated,,computed,stated,-0.2512909078898953,2026-08-14,-0.22755736051132214,-0.22755736051132214,-0.22755736051132214,0.13527704242046384,-0.17544401440124094,0.9566074950690335,-0.157256944580568,equity@ASX,53,0.05357142948374459,0.06778331120789975,0.17570683651098107,0.08278331120789975,0.065,0.16063426404688036,deteriorating,0.015,0.001433422780224865,0.012255386299015791,0.11696267626749396,0.005,0.06421673398812461,True,,,78.60956439932443,68.3655421489022,,95.0,0.5125000000000001,,,,,ok,https://www.asx.com.au/content/dam/asx/issuers/asx-investment-products-reports/2026/excel/asx-investment-products-july-2026-abs.xlsx,"5y return is the publisher's stated figure, not recomputed here (the ASX archive is shallower than its performance table)"
ASX:CD3,ASX,CD3,Cd Private Equity Fund III,private_equity,Units,AUD,LIC,69150000.0,live,0.1339669,,0.0255671486472433,1.9137577002053388,unspecified,computed,22,stated,,computed,stated,-0.49999998641919485,2026-08-14,-0.3545321427692507,-0.3545321427692507,-0.3545321427692507,0.055512598588648994,-2.620447382185579,1.0,-0.43010358970149587,private_equity@global,4,0.30232557636650925,0.0544689042639143,0.0355671486472433,0.0644689042639143,0.07,0.16063426404688036,improving,0.01,0.013604067866746616,0.013604067866746616,1.0,0.005,0.0630729721306609,True,,,39.09281593895165,51.025825900796434,,20.0,0.5125000000000001,,,,,ok,https://www.asx.com.au/content/dam/asx/issuers/asx-investment-products-reports/2026/excel/asx-investment-products-july-2026-abs.xlsx,"5y return is the publisher's stated figure, not recomputed here (the ASX archive is shallower than its performance table)"
ASX:TOP,ASX,TOP,Thorney Opportunities Ltd,equity,Shares,AUD,LIC,95630000.0,live,0.06634489,,0.021470798108037537,1.9137577002053388,unspecified,computed,18,stated,,computed,stated,-0.40563087294322975,2026-08-14,-0.35280232228517827,-0.35280232228517827,-0.35280232228517827,0.04674318744209243,-1.1301871684188818,1.0,-0.21987942546749606,equity@ASX,53,0.04529914696070811,0.044614061330005346,0.03147079810803754,0.059614061330005345,0.065,0.16063426404688036,improving,0.015,0.02219968658936301,0.0294637302692351,0.7534581122792545,0.005,0.061813747919368354,True,,0.22599495888151566,84.87282051282051,78.54333333333334,,95.0,0.5125000000000001,,,,,ok,https://www.asx.com.au/content/dam/asx/issuers/asx-investment-products-reports/2026/excel/asx-investment-products-july-2026-abs.xlsx,"5y return is the publisher's stated figure, not recomputed here (the ASX archive is shallower than its performance table)"
ASX:OEQ,ASX,OEQ,Orion Equities Limited,equity,Shares,AUD,LIC,3210000.0,live,,,-0.011575722761530072,1.9137577002053388,unspecified,computed,22,,,computed,computed,-0.5346558961160564,2026-08-14,-0.594041498061537,-0.594041498061537,-0.594041498061537,0.06490709619061875,0.914932348399587,1.0,-0.34049901335567545,equity@ASX,53,,0.042699315130343675,-0.011575722761530072,0.05269931513034368,0.065,0.16063426404688036,single_window,0.01,0.02355794598078205,0.038622439170486134,0.609954898933058,0.005,0.061257261111125734,False,only 1.9y of NTA history and no stated 5y return (need 5y),0.3244905182234877,82.6923076923077,75.0,,95.0,0.43250000000000005,,,,,ok,https://www.asx.com.au/content/dam/asx/issuers/asx-investment-products-reports/2026/excel/asx-investment-products-july-2026-abs.xlsx,
ASX:GFL,ASX,GFL,Global Masters Fund Limited,equity,Shares,AUD,LIC,32500000.0,live,0.03796136,,-0.019604484191639737,1.9137577002053388,unspecified,computed,22,stated,,computed,stated,-0.3405600550375011,2026-08-14,-0.29230596402507214,-0.29230596402507214,-0.29230596402507214,0.033925346751409104,-1.4223610259908306,1.0,-0.189631246337443,equity@ASX,53,,0.043015963587278834,-0.009604484191639737,0.053015963587278836,0.065,0.16063426404688036,improving,0.01,0.020772527105198647,0.021906386696789903,0.9482406839938871,0.005,0.058788490692477484,True,,,76.55969435897435,65.03450333333333,,95.0,0.5125000000000001,,,,,ok,https://www.asx.com.au/content/dam/asx/issuers/asx-investment-products-reports/2026/excel/asx-investment-products-july-2026-abs.xlsx,"no distributions found: the 'total return' equals NAV price growth for this fund and understates it if it in fact pays distributions | 5y return is the publisher's stated figure, not recomputed here (the ASX archive is shallower than its performance table)"
